image_link,date,description,note,equipment_type,cntry_army,flag,system,status,total_equipment_type_oryx,total_system_oryx,total_destroyed_oryx,total_abandoned_oryx,total_captured_oryx,total_damaged_oryx,timestamp
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://i.postimg.cc/65WyTWGL/g43g.png,NA,NA,no date,Towed Artillery,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,152mm 2A36 Giatsint-B field-gun,abandoned,9,26,8,3,12,3,2022-04-29T21:08:14Z
https://twitter.com/UAWeapons/status/1505623206014636035,2022-03-20,NA,date from tweet,Radars And Communications Equipment,Ukraine,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png,AN/TPQ-36 lightweight counter mortar radar,damaged,1,18,9,1,5,3,2022-04-29T21:08:14Z
https://i.postimg.cc/k5bY36V0/4f114.png,2022-03-16,NA,date from image,Aircraft,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,MiG-29 fighter aircraft,destroyed,5,20,19,NA,NA,1,2022-04-29T21:08:14Z
https://vikna.if.ua/news/category/if/2022/03/20/131828/view,2022-03-20,NA,date from news,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/mil_in_ua/status/1499342154078072832?s=20&t=bcSrtaBM5RESkHmxbxd-lQ,2022-03-03,NA,date from tweet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://twitter.com/UAWeapons/status/1506317219000721412,2022-03-22,NA,date from tweet,Aircraft,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Su-25 attack aircraft,damaged,5,20,19,NA,NA,1,2022-04-29T21:08:14Z
https://twitter.com/ArmedForcesUkr/status/1502323427847376901,2022-03-08,NA,date from tweet,Helicopters,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png,Mi-24 attack helicopter,destroyed,1,5,4,NA,1,NA,2022-04-29T21:08:14Z
